Problema,Método,Máximo,Mínimo,Mediana,IQR,Media,STD,Mejor Solución
F1,HillClimbing,1.043517170729955,1.0009560920725806,1.0075823027875777,0.015118810890285328,1.0147322421522507,0.015291854726281981,1.0009560920725806
F1,SteepestAscentHillClimbing,1.07262678113374,1.0066488675551688,1.0307839037569901,0.02558981688047579,1.0295960888855098,0.020097008488504722,1.0066488675551688
F1,SteepestAscentHillClimbingWithReplacement,1.0308439770272582,1.0013109488641883,1.0103792634934234,0.01736403658431196,1.0126642042041352,0.010638515502280442,1.0013109488641883
F1,RandomSearch,1.0557218873924235,1.0020122087105667,1.0162766796370515,0.015996803784514624,1.0214310647774836,0.01744337716980904,1.0020122087105667
F1,HillClimbingWithRandomRestarts,1.034482101927273,1.0013167512880883,1.0092715200974804,0.015768086584875718,1.0121737765816272,0.010987138731827642,1.0013167512880883
F1,SimmulatedAnneling,1.0491891293129798,1.002393956047209,1.0259037611233786,0.020048942003928927,1.0257018861823464,0.015194811507489813,1.002393956047209
F1,IteratedLocalSearchWithRandomRestarts,1.0401118608553683,1.0036690212060473,1.0183843037144857,0.017062822467846406,1.0181187052223302,0.011846150697614858,1.0036690212060473
F1,Evolutivo,1.016546124540398,1.0001094917879407,1.0035750236707988,0.004514701490458295,1.0046206237278825,0.004758698248540229,1.0001094917879407
F2,HillClimbing,0.000495420781225997,1.0340343099997373e-10,1.6127129957403674e-05,6.403056630609281e-05,7.791647284339698e-05,0.0001535563830802696,1.0340343099997373e-10
F2,SteepestAscentHillClimbing,5.786925806783305e-05,1.1337363560980085e-09,1.8320603681950404e-07,1.3878080521614595e-05,1.0530085788299772e-05,1.8499199889752022e-05,1.1337363560980085e-09
F2,SteepestAscentHillClimbingWithReplacement,8.660036754792877e-05,2.3426132101864172e-09,1.7353252394439883e-06,1.9633224128011526e-05,1.8324348218094322e-05,3.1262558167142375e-05,2.3426132101864172e-09
F2,RandomSearch,0.0001637796985352602,3.003956404370317e-12,1.0305912045045773e-06,1.795781153978728e-05,3.0173197940669932e-05,5.6095970325865444e-05,3.003956404370317e-12
F2,HillClimbingWithRandomRestarts,0.00019963218996529863,1.4380499291366533e-09,5.954334392752059e-06,9.18575277821668e-05,5.7175170761543205e-05,7.7948896304099e-05,1.4380499291366533e-09
F2,SimmulatedAnneling,0.000273907153485492,4.29865762222037e-08,2.5037389770735108e-05,9.876790553708589e-05,7.070065943327736e-05,9.96770277611883e-05,4.29865762222037e-08
F2,IteratedLocalSearchWithRandomRestarts,0.00031960012931887827,6.948870827708231e-10,7.822341251377193e-06,6.800832260386424e-05,5.615551051812344e-05,9.983022741902957e-05,6.948870827708231e-10
F2,Evolutivo,5.781195258678645,1.573800768525646e-13,3.1084286870441263e-07,6.599377609676962e-07,0.5889301668555751,1.8246922958768514,1.573800768525646e-13
F6,HillClimbing,-99.94477690609087,-100.22375444890582,-100.20789379266724,0.05596380514992916,-100.16928158088096,0.087804066413128,-100.22375444890582
F6,SteepestAscentHillClimbing,-100.13470405962524,-100.22375410336606,-100.21541470123591,0.01814931709070322,-100.2021910640921,0.03178997505117227,-100.22375410336606
F6,SteepestAscentHillClimbingWithReplacement,-100.05741955942125,-100.2237444517375,-100.21785835093112,0.021128035410214352,-100.19726145475381,0.05162971425306581,-100.2237444517375
F6,RandomSearch,-100.21008753760408,-100.22375493897601,-100.22346593380638,0.0038265703869058143,-100.22054524461643,0.0049737269162265325,-100.22375493897601
F6,HillClimbingWithRandomRestarts,-100.11896735794724,-100.22359741647433,-100.19589787577559,0.05517090413168546,-100.1850307246818,0.03898431134173895,-100.22359741647433
F6,SimmulatedAnneling,-99.96879742869072,-100.2235986865898,-100.2076946344391,0.03489836232617449,-100.17201755894902,0.08388721605200178,-100.2235986865898
F6,IteratedLocalSearchWithRandomRestarts,-99.90754414283796,-100.22358813875869,-100.21939499633244,0.034052869028585064,-100.1741545350956,0.10049482471539534,-100.22358813875869
F6,Evolutivo,1.4309091447962548,-100.22375075947376,-51.27234035904261,100.09430487800749,-50.123823897593596,50.51842844708833,-100.22375075947376
