Problema,Método,Máximo,Mínimo,Mediana,IQR,Media,STD,Mejor Solución
F1,HillClimbing,1.1910726832537213,1.1910726832537213,1.1910726832537213,0.0,1.1910726832537213,,1.1910726832537213
F1,SteepestAscentHillClimbing,1.0063390393090552,1.0063390393090552,1.0063390393090552,0.0,1.0063390393090552,,1.0063390393090552
F1,SteepestAscentHillClimbingWithReplacement,1.0041457494325368,1.0041457494325368,1.0041457494325368,0.0,1.0041457494325368,,1.0041457494325368
F1,RandomSearch,1.094428364382777,1.094428364382777,1.094428364382777,0.0,1.094428364382777,,1.094428364382777
F1,HillClimbingWithRandomRestarts,1.2000471641185424,1.2000471641185424,1.2000471641185424,0.0,1.2000471641185424,,1.2000471641185424
F1,SimmulatedAnneling,1.0873792036590084,1.0873792036590084,1.0873792036590084,0.0,1.0873792036590084,,1.0873792036590084
F1,IteratedLocalSearchWithRandomRestarts,1.5639639654314632,1.5639639654314632,1.5639639654314632,0.0,1.5639639654314632,,1.5639639654314632
F2,HillClimbing,0.33160058836593237,0.33160058836593237,0.33160058836593237,0.0,0.33160058836593237,,0.33160058836593237
F2,SteepestAscentHillClimbing,2.9254519796351186e-06,2.9254519796351186e-06,2.9254519796351186e-06,0.0,2.9254519796351186e-06,,2.9254519796351186e-06
F2,SteepestAscentHillClimbingWithReplacement,3.668626216892651e-07,3.668626216892651e-07,3.668626216892651e-07,0.0,3.668626216892651e-07,,3.668626216892651e-07
F2,RandomSearch,0.02517073753096377,0.02517073753096377,0.02517073753096377,0.0,0.02517073753096377,,0.02517073753096377
F2,HillClimbingWithRandomRestarts,0.20289824588850458,0.20289824588850458,0.20289824588850458,0.0,0.20289824588850458,,0.20289824588850458
F2,SimmulatedAnneling,0.006336285647390083,0.006336285647390083,0.006336285647390083,0.0,0.006336285647390083,,0.006336285647390083
F2,IteratedLocalSearchWithRandomRestarts,0.33770462354362885,0.33770462354362885,0.33770462354362885,0.0,0.33770462354362885,,0.33770462354362885
F6,HillClimbing,-99.1827533235332,-99.1827533235332,-99.1827533235332,0.0,-99.1827533235332,,-99.1827533235332
F6,SteepestAscentHillClimbing,-100.22370173364864,-100.22370173364864,-100.22370173364864,0.0,-100.22370173364864,,-100.22370173364864
F6,SteepestAscentHillClimbingWithReplacement,-100.21753249977516,-100.21753249977516,-100.21753249977516,0.0,-100.21753249977516,,-100.21753249977516
F6,RandomSearch,-99.94528622920531,-99.94528622920531,-99.94528622920531,0.0,-99.94528622920531,,-99.94528622920531
F6,HillClimbingWithRandomRestarts,-94.64645600171728,-94.64645600171728,-94.64645600171728,0.0,-94.64645600171728,,-94.64645600171728
F6,SimmulatedAnneling,-98.03920590709657,-98.03920590709657,-98.03920590709657,0.0,-98.03920590709657,,-98.03920590709657
F6,IteratedLocalSearchWithRandomRestarts,-100.16912620170405,-100.16912620170405,-100.16912620170405,0.0,-100.16912620170405,,-100.16912620170405
