Problema,Método,Máximo,Mínimo,Mediana,IQR,Media,STD,Mejor Solución
F3,HillClimbing,8436.857832737778,8436.857832737778,8436.857832737778,0.0,8436.857832737778,,8436.857832737778
F3,SteepestAscentHillClimbing,8199.52716442307,8199.52716442307,8199.52716442307,0.0,8199.52716442307,,8199.52716442307
F3,SteepestAscentHillClimbingWithReplacement,8579.52699818775,8579.52699818775,8579.52699818775,0.0,8579.52699818775,,8579.52699818775
F3,RandomSearch,7793.593620370743,7793.593620370743,7793.593620370743,0.0,7793.593620370743,,7793.593620370743
F3,HillClimbingWithRandomRestarts,8023.618484367872,8023.618484367872,8023.618484367872,0.0,8023.618484367872,,8023.618484367872
F3,SimmulatedAnneling,8584.174708997298,8584.174708997298,8584.174708997298,0.0,8584.174708997298,,8584.174708997298
F3,IteratedLocalSearchWithRandomRestarts,8336.24850250201,8336.24850250201,8336.24850250201,0.0,8336.24850250201,,8336.24850250201
F4,HillClimbing,56376.17328499434,56376.17328499434,56376.17328499434,0.0,56376.17328499434,,56376.17328499434
F4,SteepestAscentHillClimbing,47270.42034720324,47270.42034720324,47270.42034720324,0.0,47270.42034720324,,47270.42034720324
F4,SteepestAscentHillClimbingWithReplacement,50907.21144150031,50907.21144150031,50907.21144150031,0.0,50907.21144150031,,50907.21144150031
F4,RandomSearch,49297.919313739156,49297.919313739156,49297.919313739156,0.0,49297.919313739156,,49297.919313739156
F4,HillClimbingWithRandomRestarts,48238.324925541885,48238.324925541885,48238.324925541885,0.0,48238.324925541885,,48238.324925541885
F4,SimmulatedAnneling,51899.01343687803,51899.01343687803,51899.01343687803,0.0,51899.01343687803,,51899.01343687803
F4,IteratedLocalSearchWithRandomRestarts,55014.356848072144,55014.356848072144,55014.356848072144,0.0,55014.356848072144,,55014.356848072144
F5,HillClimbing,6571.331760653707,6571.331760653707,6571.331760653707,0.0,6571.331760653707,,6571.331760653707
F5,SteepestAscentHillClimbing,5893.763263650881,5893.763263650881,5893.763263650881,0.0,5893.763263650881,,5893.763263650881
F5,SteepestAscentHillClimbingWithReplacement,6326.112156753093,6326.112156753093,6326.112156753093,0.0,6326.112156753093,,6326.112156753093
F5,RandomSearch,5722.3179085634765,5722.3179085634765,5722.3179085634765,0.0,5722.3179085634765,,5722.3179085634765
F5,HillClimbingWithRandomRestarts,6156.781011536242,6156.781011536242,6156.781011536242,0.0,6156.781011536242,,6156.781011536242
F5,SimmulatedAnneling,6124.959948922005,6124.959948922005,6124.959948922005,0.0,6124.959948922005,,6124.959948922005
F5,IteratedLocalSearchWithRandomRestarts,5961.125975650472,5961.125975650472,5961.125975650472,0.0,5961.125975650472,,5961.125975650472
F11,HillClimbing,9.015822805907844,9.015822805907844,9.015822805907844,0.0,9.015822805907844,,9.015822805907844
F11,SteepestAscentHillClimbing,9.720756134452737,9.720756134452737,9.720756134452737,0.0,9.720756134452737,,9.720756134452737
F11,SteepestAscentHillClimbingWithReplacement,9.445026400126588,9.445026400126588,9.445026400126588,0.0,9.445026400126588,,9.445026400126588
F11,RandomSearch,8.650770227317722,8.650770227317722,8.650770227317722,0.0,8.650770227317722,,8.650770227317722
F11,HillClimbingWithRandomRestarts,8.854245940186635,8.854245940186635,8.854245940186635,0.0,8.854245940186635,,8.854245940186635
F11,SimmulatedAnneling,9.565981737308446,9.565981737308446,9.565981737308446,0.0,9.565981737308446,,9.565981737308446
F11,IteratedLocalSearchWithRandomRestarts,8.985991005453258,8.985991005453258,8.985991005453258,0.0,8.985991005453258,,8.985991005453258
