Problema,Método,Máximo,Mínimo,Mediana,IQR,Media,STD,Mejor Solución
F3,HillClimbing,0.06761666938329952,0.06761666938329952,0.06761666938329952,0.0,0.06761666938329952,,0.06761666938329952
F3,SteepestAscentHillClimbing,0.0003552331311236894,0.0003552331311236894,0.0003552331311236894,0.0,0.0003552331311236894,,0.0003552331311236894
F3,SteepestAscentHillClimbingWithReplacement,0.00041551764193333544,0.00041551764193333544,0.00041551764193333544,0.0,0.00041551764193333544,,0.00041551764193333544
F3,RandomSearch,0.4036504696421735,0.4036504696421735,0.4036504696421735,0.0,0.4036504696421735,,0.4036504696421735
F3,HillClimbingWithRandomRestarts,0.4013279484245467,0.4013279484245467,0.4013279484245467,0.0,0.4013279484245467,,0.4013279484245467
F3,SimmulatedAnneling,0.016395547509178432,0.016395547509178432,0.016395547509178432,0.0,0.016395547509178432,,0.016395547509178432
F3,IteratedLocalSearchWithRandomRestarts,0.03522230522014106,0.03522230522014106,0.03522230522014106,0.0,0.03522230522014106,,0.03522230522014106
F4,HillClimbing,0.10711175496866113,0.10711175496866113,0.10711175496866113,0.0,0.10711175496866113,,0.10711175496866113
F4,SteepestAscentHillClimbing,0.0,0.0,0.0,0.0,0.0,,0.0
F4,SteepestAscentHillClimbingWithReplacement,0.0,0.0,0.0,0.0,0.0,,0.0
F4,RandomSearch,0.3137696421903905,0.3137696421903905,0.3137696421903905,0.0,0.3137696421903905,,0.3137696421903905
F4,HillClimbingWithRandomRestarts,0.19690081593345438,0.19690081593345438,0.19690081593345438,0.0,0.19690081593345438,,0.19690081593345438
F4,SimmulatedAnneling,0.5533805876911283,0.5533805876911283,0.5533805876911283,0.0,0.5533805876911283,,0.5533805876911283
F4,IteratedLocalSearchWithRandomRestarts,0.8511863052816829,0.8511863052816829,0.8511863052816829,0.0,0.8511863052816829,,0.8511863052816829
F5,HillClimbing,-12.246026485483142,-12.246026485483142,-12.246026485483142,0.0,-12.246026485483142,,-12.246026485483142
F5,SteepestAscentHillClimbing,-16.435507795283947,-16.435507795283947,-16.435507795283947,0.0,-16.435507795283947,,-16.435507795283947
F5,SteepestAscentHillClimbingWithReplacement,-18.755398755285814,-18.755398755285814,-18.755398755285814,0.0,-18.755398755285814,,-18.755398755285814
F5,RandomSearch,-11.317611341693565,-11.317611341693565,-11.317611341693565,0.0,-11.317611341693565,,-11.317611341693565
F5,HillClimbingWithRandomRestarts,-12.578486303957131,-12.578486303957131,-12.578486303957131,0.0,-12.578486303957131,,-12.578486303957131
F5,SimmulatedAnneling,-11.807988181546197,-11.807988181546197,-11.807988181546197,0.0,-11.807988181546197,,-11.807988181546197
F5,IteratedLocalSearchWithRandomRestarts,-12.145885186506876,-12.145885186506876,-12.145885186506876,0.0,-12.145885186506876,,-12.145885186506876
F11,HillClimbing,0.04537744515051223,0.04537744515051223,0.04537744515051223,0.0,0.04537744515051223,,0.04537744515051223
F11,SteepestAscentHillClimbing,0.00995256198360761,0.00995256198360761,0.00995256198360761,0.0,0.00995256198360761,,0.00995256198360761
F11,SteepestAscentHillClimbingWithReplacement,0.0019906653004243546,0.0019906653004243546,0.0019906653004243546,0.0,0.0019906653004243546,,0.0019906653004243546
F11,RandomSearch,0.02679501199823242,0.02679501199823242,0.02679501199823242,0.0,0.02679501199823242,,0.02679501199823242
F11,HillClimbingWithRandomRestarts,0.04331953756256446,0.04331953756256446,0.04331953756256446,0.0,0.04331953756256446,,0.04331953756256446
F11,SimmulatedAnneling,0.019971238566291794,0.019971238566291794,0.019971238566291794,0.0,0.019971238566291794,,0.019971238566291794
F11,IteratedLocalSearchWithRandomRestarts,0.0435396728911992,0.0435396728911992,0.0435396728911992,0.0,0.0435396728911992,,0.0435396728911992
